id,name,owner,capacity,fuel
422,Carousel Dairy AD Plant (Farm AD),Tamar Energy,1.5,Biomass
423,Carr Farm (Farm AD),Farmgen,1.0,Biomass
424,Carraig Gheal,Green Power,46.0,Wind
425,Carrington,,900.0,Gas
426,Carrington Farm AD,Beeswax Farming (Rainbow),3.0,Biomass
427,Carscreugh Renewable Energy Park,John Laing Environmental Assets Group/ REG Power Management,15.3,Wind
428,Carsfad,Scottish Power: Hydro schemes - Galloway,12.0,Hydro
429,Carsington,Carsington Wind Energy Limited,8.2,Wind
430,Carver Hay  moss lane,Navitas Project,2.5,Solar
431,Cashlie,Scottish and Southern Energy (SSE),11.0,Hydro
432,Cassington AD (Waste AD),Agrivert,2.1,Biomass
433,Cassley,Scottish and Southern Energy (SSE),10.0,Hydro
434,Castle Combe,Sunsave 17 (Castle Combe) Limited /Vogt Solar,15.32736,Solar
435,Castle Eaton Farm,Hive Energy,17.8,Solar
436,Castle Pill - Repowering,John Laing,3.2,Wind
437,Castle of Auchry Farm,Green Cat Renewables,2.4,Wind
438,Castleford,E.On UK,56.0,Gas
439,Caswell Farm Solar Park,Juwi Renewable Energies,6.7,Solar
440,Cathkin Braes,Scottish and Southern Energy (SSE),3.0,Wind
441,Caton Moor Windfarm Repowering,Hainsford Energy Ltd,16.0,Wind
442,Cattlegate Farm Biogas (Farm AD),Willen Biogas & Xergi,1.5,Biomass
443,Causeymire,Innogy (formerly RWE npower),48.3,Wind
444,Causilgey Solar Farm,China Sunergy,5.0,Solar
445,Ceannacroc,Green Highland Renewables,20.0,Hydro
446,Cefn Betingau Farm,Wessex Solar Energy,9.0,Solar
447,Cefn Croes,Renewable Development Company Ltd  KENTECH Ltd,59.0,Wind
448,Celcon Blocks Ltd,Ecotricity / Next Generation,2.0,Wind
449,Cemmaes,Vestas,15.3,Wind
450,Cemmaes 'C' Wind Farm,Vestas,15.3,Wind
451,Chalcroft Solar Park,Chalcroft Solar Park,6.3,Solar
452,Chalgrove Solar,Chalgrove Solar,21.34044,Solar
453,Chancery Farm (Ardleigh),BlackRock,11.9,Solar
454,Chaorach Hydro,Green Highland Renewables,2.0,Hydro
455,Chapel Farm,Public Power Solutions/ Swindon Borough Council,5.0,Solar
456,Chapel Farm Landfill,HILLS MINERALS & WASTE LTD,3.0,Waste
457,Chapel Hill,Wessex Solar Energy,8.0,Solar
458,Chapel Lane Parley Solar Farm Phase 1,Solar Power Generation Limited,20.0,Solar
459,Chapel Lane Parley Solar Farm Phase 2,Eco Sustainable Solutions,36.0,Solar
460,Chapel Lane Parley Solar Farm Phase 3,Eco Sustainable Solutions,4.0,Solar
461,Chapman's Well,Natural Power,1.0,Waste
462,Chard Solar Park,Conergy,3.0,Solar
463,Charity Farm - CfD,Lightsource Renewable Energy,14.402485,Solar
464,Chawton Farm Solar Farm,BNRG Renewables,3.2,Solar
465,Chediston Hall Solar Park,Lightsource Renewable Energy,12.3,Solar
466,Chelker Reservoir,Yorkshire Water,1.3,Wind
467,Chelker Reservoir (Retention of Turbines),Yorkshire Water,1.2,Wind
468,Chelson Meadow 2,Combined Landfill Projects (CLP),1.4,Waste
469,Chelson Meadow Gas to Energy Scheme,DEVON WASTE MANAGEMENT LTD,1.8,Waste
470,Chelveston Airfield,Chelveston Renewable Energy Limited,16.0,Solar
471,Chelveston Airfield - extension,Chelveston Renewable Energy,3.5,Solar
472,Chelveston Renewable Energy Park - Solar Extension,FEL Solar,19.5,Solar
473,Chelveston Renewable Energy Park Wind Farm (Bedford),Chelveston Renewable Energy Ltd,10.0,Wind
474,Chelveston Renewable Energy Park Wind Farm (East Northamptonshire),Chelveston Renewable Energy Ltd  David Henson,12.5,Wind
475,Chelwood Solar Farm,Mongoose Energy Coop,5.0,Solar
476,Chelworth Industrial Estate Solar Park,Bath & West Community Energy Ltd,1.0,Solar
477,Cherry Tree Farm,Trina Solar,5.0,Solar
478,Chester Energy (East Woolley Farm),Mr John R Wearmouth  Chester Energy (Eastcott) Ltd,5.0,Solar
479,Chickerell,Scottish and Southern: Thermal,45.0,Oil
480,Chilton Cantelo Solar Park,Mr Angus Macdonald,4.997,Solar
481,Chilton Energy Plant,Dalkia,18.0,Biomass
482,Chineham ERF,Veolia,8.0,Waste
483,Chiplow,Blue Energy,8.2,Wind
484,Chippenham,Scottish and Southern: Thermal,10.0,Gas
485,Chisbon Solar Farm (Frowick Lane),ESCO NRG,13.0,Solar
486,Chittering,Abbey Properties Cambs,4.9934,Solar
487,Chittering Solar Farm,Abbey Renewables,5.0,Solar
488,Chonais Hydro,Green Highland Renewables,2.0,Hydro
489,Christchurch Energy,New Forest Energy Ltd,18.0,Solar
490,Church Farm - Slapton,Lightsource Renewable Energy,4.9848,Solar
491,Church Hill,Energia Renewables,16.0,Wind
492,Chynoweth Farm,Low carbon Solar Partners,2.9,Solar
493,Cia Aig,RWE Npower Renewables,3.0,Hydro
494,Clachan,Scottish and Southern: Hydro Schemes - Sloy/Awe,40.0,Hydro
495,Clachan Flats,AMEC/ Border Winds,15.03,Wind
496,Clann Solar Farm,Lightsource Renewable Energy,1.4,Solar
497,Clapham solar farm,SBC Renewables,7.5,Solar
498,Clapton Farm Solar Park,British Solar Renewables,5.0,Solar
499,Clashindarroch,Vattenfall Wind Power,36.9,Wind
500,Clawdd Ddu,Elgin Energy EsCo,13.521,Solar
501,Clayhill Farm,Anesco,10.0,Solar
502,Claypit Moor Solar Farm (Lexham),Lightsource Renewable Energy,7.9,Solar
503,Clearwell Farm - solar,Heritage Energy,2.0,Solar
504,Cleave Farm,Lightsource Renewable Energy,4.56435,Solar
505,Clentrie Wind Farm (Gevens),Rev Ltd,6.9,Wind
506,Clifton Hall,Biffa,1.0,Waste
507,Clifton Marsh Energy,SITA UK / Natural Power,3.3,Waste
508,Clochnahill Wind Farm,M  I & H Gordon,5.2,Wind
509,Clondermot Turbines,Energia Renewables,4.6,Wind
510,Cloonty Wind Farm,Gaelectric Developments/ CGN Europe Energy,12.0,Wind
511,Clunie,Scottish and Southern: Hydro Schemes - Tummel,61.2,Hydro
512,Clyde Wind Farm Extension (Clyde 2),Scottish and Southern Energy (SSE)/ GIB,172.8,Wind
513,Cnoc Donn Arnicle,CRE Energy/ Scottish Power,15.0,Wind
514,Coal Clough RP,Coal Clough Wind Farm,16.0,Wind
515,Coal Clough Wind Farm,RES,9.6,Wind
516,Cobbs Cross Solar Park,PS Renewables,5.0,Solar
517,Cockett Valley,Renewable Developments Wales,4.0,Solar
518,Cockhill Solar Farm,Next Energy Solar Fund Ltd,20.0,Solar
519,Codford Biogas (Waste AD),J M Stratton & Co,1.5,Biomass
520,Colchester STW,Anglian Water Services Ltd,1.2,Waste
521,Cold Harbour,Lightsource Renewable Energy,5.0,Solar
522,Cold Northcott,EDF Energies Nouvelles,6.6,Wind
523,Coldham,Co-op,16.0,Wind
524,Coldham,Wind Prospect / TXU,16.0,Wind
525,Coleshill STW (Waste AD),Severn Trent Water,2.4,Biomass
526,Collacott Farm,Cooper Energy Engineering,4.5,Solar
527,Colnbrook Landfill,Biffa,1.9,Waste
528,Colpmans Farm,Wirsol Solar UK Ltd,5.0,Solar
529,Colsterworth Landfill Gas Project,Colsterworth Energy Ltd,2.6,Waste
530,Coltishall 1,Greencoat Capital,33.682,Solar
531,Colwick Industrial Estate (Farm and Food waste),Bio Dynamic,2.0,Biomass
532,Combermere Abbey,INRG Solar,14.0,Solar
533,Common Farm,Public Power Solutions/ Swindon Borough Council,4.99,Solar
534,Compton Bassett Landfill,HILLS MINERALS & WASTE LTD,2.0,Waste
535,Condover (Green Farm),NextEnergy Solar Fund,10.2,Solar
536,Condover Airfield,Lightsource Renewable Energy,12.3,Solar
537,Congresbury Solar Farm,Padero Solar Renewables,7.1,Solar
538,Connahs Quay,Uniper UK Limited,1380.0,Gas
539,Connaught Road,,1.7,Wind
540,Connon Bridge Landfill,,1.0,Waste
541,Connon Bridge Landfill Gas Project,Combined Landfill Projects (CLP Envirogas),5.2,Waste
542,Coolkeeragh,Coolkeeragh ESB Ltd,408.0,Gas
543,Coolkeeragh OCGT,Coolkeeragh ESB Ltd,53.0,Gas
544,Coombe Farm,Renewable Energy Systems Ltd (RES),8.0,Solar
545,Coombeshead Solar Farm,Green Hedge (BayWa r.e.),8.0,Solar
546,Cooper House Farm,Suncredit UK/ Vogt solar,5.0,Solar
547,Copley Farm,TGC Renewables,30.0,Solar
548,Corby,Corby Power Ltd,401.0,Gas
549,Corby Knowe,Gaelectric Developments/ CGN Europe Energy,5.0,Wind
550,Corkey,B9 Energy Services Ltd/ ScottishPower Renewables,5.0,Wind
551,Corkey Wind Farm Extension (Resubmission),Northern Ireland Renewables,2.5,Wind
552,Corntown Farm,SBC Renewables,3.4,Solar
553,Cornwall ERC,SUEZ,20.0,Waste
554,Corriegarth,Greencoat Capital,69.0,Wind
555,Corriemoillie,EDF Energy Renewables,47.5,Wind
556,Coryton,Intergen,800.0,Gas
557,Costessey Landfill Gas Project 2,Combined Landfill Projects (CLP),2.0,Waste
558,Cotesbach Landfill Gas Project,LAFARGE REDLANDS AGGREGATES LTD,2.3,Waste
559,Cotgrave,Anesco,4.9833,Solar
560,Coton Park Solar Farm,Green Energy Networks,2.7,Solar
561,Cottam,EDF Energy,2008.0,Coal
562,Cottam Development Centre,Uniper UK Limited,395.0,Gas
563,Cotton Farm,Greencoat UK Wind,16.4,Wind
564,Cottonmount Quarry,Biffa,3.2,Waste
565,Cour Wind Farm,Octopus Investments/Blue Energy,20.5,Wind
566,Coursers Farm AD Plant (Waste AD),Agrivert,3.0,Biomass
567,Court Colman solar park,Suncredit UK/ Vogt Solar,15.0,Solar
568,Court Farm (Resubmission),BE Renewables,8.5,Solar
569,Courtstone Wind Turbine,,2.3,Wind
570,Coventry,Coventry & Solihull WDC,4.5,Waste
571,Cowdown Lane,Equitix,40.0,Solar
572,Cowes,RWE Npower Plc,140.0,Gas
573,Cowie Biomass Facility,Norbord,15.0,Biomass
574,Cradley Heath,Intervate Renewable Energy,1.1,Biomass
575,Craig Wind Farm,Craig Wind Farm Co,10.0,Wind
576,Craig Wind Farm (Extension),Temporis Wind,2.5,Wind
577,Craigahulliar Landfill Gas,B9 Organic Energy and Craigahulliar Energy,1.0,Waste
578,Craigannet Farm Wind Turbine,Clean Earth Energy,1.5,Wind
579,Craigengelt,Scotia Wind Ltd,20.0,Wind
580,Cranford,SITA UK,1.1,Waste
581,Cranham Golf Course Solar Park,Cranham Golf Course,2.6,Solar
582,Crannaford Solar Farm,MS Power Projects Ltd (Mr L Mark),12.5,Solar
583,Crapnell Farm Solar Farm,Lightsource Renewable Energy,5.4,Solar
584,Creathorne Farm  - Solar Farm,Good Energy Generation,1.8,Solar
585,Cregganconroe,Gaelectric Developments/ CGN Europe Energy,13.8,Wind
586,Cressing Solar Farm (Phase 1),Octopus Investments,5.0,Solar
587,Creswell Solar Park (resubmission),Sovereign Energy Partners,5.0,Solar
588,Crighshane,Energia Renewables,28.0,Wind
589,Crimp,Crimp Power Ltd (West Coast Energy),2.43,Wind
590,Crockagarran,ESB,15.0,Wind
591,Crockagarron Ext,,2.5,Wind
592,Crockandun,Brookfield Renewable Energy Group,15.0,Wind
593,Crockbaravally Wind Farm,Golden Square Energy,7.5,Wind
594,Crockbrack,Gaelectric Developments/ CGN Europe Energy,2.0,Wind
595,Crockdun,ESB (Northern Wind Power),12.5,Wind
596,Crockers Hele,Mr Knapman,1.3,Solar
597,Croda Chemicals Europe,Croda Chemicals   Oak Road  Kingston-Upon-Hull,3.0,Wind
598,Crook Hill (Revised Application - Calderdale MBC) 1 of 2,Infrared Capital Partners,13.6,Wind
599,Crook Hill (Revised Application - Rochdale MBC) 2 of 2,Infrared Capital Partners,23.8,Wind
600,Crookedstone,Lightsource Renewable Energy,4.83184,Solar
601,Cross Green ERF,Veolia,11.6,Waste
602,Cross Roads Plantation,Good Energy Generation,5.0,Solar
603,Crossness,Thames Water Utilities,1.50371,Solar
604,Crossness Sewage Works,Thames Water Utilities,5.7,Waste
605,Crossness Sewage Works Turbine,Thames Water Utilities,2.5,Wind
606,Crossways Solar Park,Vogt Solar,4.997,Solar
607,Crow Trees Farm,Trina Solar,4.8,Solar
608,Crowmarsh Battle Farm (Farm AD),Agrivert,2.3,Biomass
609,Croydon / Church Farm (Royston),Push Energy/ NESF,16.5,Solar
610,Cruach Mhor,Scottish Power Renewables,29.75,Wind
611,Cruachan,Scottish Power: Hydro schemes - Cruachan,440.0,Hydro
612,Crucis Farm,Solar Planning Limited,16.057,Solar
613,Crugmore Farm,John Laing Environmental Assets (formerly RGE Energy),6.4,Solar
614,Crundale / Fenton Home Farm (extension),Vogt Solar,5.9,Solar
615,Crystal Rig,Fred Olsen Renewables,63.0,Wind
616,Crystal Rig 2,Fred Olsen Renewables,138.0,Wind
617,Crystal Rig 3,Fred Olsen Renewables,13.8,Wind
618,Crystal Rig Extension II,Natural Power Consultants,20.7,Wind
619,Cuaich,Scottish and Southern Energy (SSE),2.5,Hydro
620,Cuckoo Grove Farm,,7.5,Solar
621,Cuileig Hydro Scheme,Scottish Hydro-Electric plc,3.3,Hydro
622,Culligran,Scottish and Southern: Hydro Schemes - Affric/Beauly,17.0,Hydro
623,Culligran Compensation Set,Scottish and Southern: Hydro Schemes - Affric/Beauly,2.1,Hydro
624,Culmhead Solar Farm (Resubmission),Anesco,7.5,Solar
625,Culworth,Mr & Mrs C E R & S Buckley,3.63639,Solar
626,Cumbernauld BioPlant  (Waste AD),Shanks Group,2.4,Biomass
627,Curryfree Wind Farm,ESB,15.0,Wind
628,Cwm Derwyn Farm,Kronos Solar,5.0,Solar
629,Cwmcaesingrug Farm,Kronos Solar,10.0,Solar
630,Cwrt Henllys,Lightsource Renewable Energy,4.99252,Solar
631,DPD Distribution Centre,DPD,1.0,Solar
632,Dagenham,Ecotricity,2.3,Wind
633,Dalby,Ecotricity,9.2,Wind
634,Dalchonzie,Scottish and Southern Energy (SSE),4.0,Hydro
635,Dalswinton,Airtricity Scotland,30.8,Wind
636,Damhead Creek,Scottish Power: Thermal,805.0,Gas
637,Damhead Farm,Mr Arthur Shevill,2.5,Wind
638,Danes Farm,Freewatt Renewable Energy,3.3,Solar
639,Danes Farm - extension,Freewatt Renewable Energy,10.5,Solar
640,Danes Moss Landfill Site,Waste Recycling Group,1.6,Waste
641,Danes Moss Landfill Site (Extension),Waste Recycling Group / NOVERA / Amber,2.0,Waste
642,Darracott Moor,FIM Services Limited aquired the site from previous developers Iberdrola,2.6,Wind
643,Dartmoor Bio Power,Dartmoor Bio Power 1,3.9,Biomass
644,Dean Group Business Park - Hartlepool,BioConstruct,5.1,Biomass
645,Deanie,Scottish and Southern: Hydro Schemes - Affric/Beauly,38.0,Hydro
646,Decoy Farm,Push Energy/ NESF,5.0,Solar
647,Decoy Farm (Farm AD),Organic Recycling,1.8,Biomass
648,Decoy Farm House Solar Modules,Ms Power Projects Ltd,6.0,Solar
649,Deep Moor Gas to Energy,DEVON WASTE MANAGEMENT LTD,2.0,Waste
650,Deepdale Farm,Deepdale Farm Solar Ltd,8.0,Solar
651,Deephams Sewerage Treatment Works,Thames Water Utilities,3.0,Biomass
652,Deeping,Wind Prospect Developments,16.0,Wind
653,Deerdykes Composting and Organics Recycling Facility (Waste AD),Scottish Water Solutions,1.0,Biomass
654,Deerplay Landfill Site,CAIRD ENVIRONMENTAL LTD,2.0,Waste
655,Deeside,,515.0,Gas
656,Delabole (Repowering),Good Energy Generation,9.2,Wind
657,Den Brook,Aviva,18.0,Wind
658,Dengemarsh Road,Tudor Roof Tile Co,1.0,Solar
659,Denhill,,2.3,Wind
660,Denzell Downs Windfarm,REG Windpower / BlackRock,10.2615,Wind
661,Derby Sewage Treatment Works,Severn Trent Water,5.0,Wind
662,Derriford Hospital,Plymouth Hospital NHS Trust,1.5,Biomass
663,Derriton Fields Solar Farm,Sunsave 12 (Derriton Fields) Limited./ Vogt solar,11.8,Solar
664,Derrydarroch,Darroch Power Limited,1.9,Hydro
665,Dersalloch,Scottish Power Renewables,69.0,Wind
666,Desford Solar Farm,Trina Solar,5.0,Solar
667,Deucheran Hill,Powergen Renewables,15.75,Wind
668,Dewlay Cheese,Dewlay Cheese Company,2.0,Wind
669,Diageo Biomass Energy Project,Diageo,5.5,Biomass
670,Didcot B,RWE Npower Plc,1470.0,Gas
671,Didcot GT,RWE Npower Plc,100.0,Gas
672,Dimmer Anaerobic Digestor (Waste AD),Viridor / Wyvern Waste Services,3.0,Biomass
673,Dimmer Landfill Gas Scheme,NOVERA,2.3,Waste
674,Dimmer Landfill Site,Gengas Ltd,1.9,Waste
675,Dinorwig,ENGIE,1800.0,Hydro
676,Distington Landfill,THOMAS GRAVESON LTD,1.8,Waste
677,Docksway Landfill Scheme,Renewable Power Systems,2.0,Waste
678,Dogsthorpe South Landfill Site,Waste Recycling Group,1.9,Waste
679,Dogsthorpe South Landfill Site 2,Shanks Group,1.4,Waste
680,Dolmans Hill (Redbridge Farm) Solar Arrays,,5.0,Solar
681,Donich Water Hydro,Gilkes Energy/Broadland Energy,1.4,Hydro
682,Dorket Head,Waste Recycling Group,2.8,Waste
683,Double Arches Quarry Wind Turbine,Arnold White Estates (AWE Renewables),1.5,Wind
684,Double H Nurseries Biomass Plant,Double H Nurseries,1.5,Biomass
685,Douglas Water,RWE npower,3.0,Hydro
686,Drakelow Solar Farm,BlackRock,5.0,Solar
687,Drapers Farm Solar Park,Lightsource Renewable Energy,6.0,Solar
688,Drax,Drax Power,1980.0,Coal
689,Drax GT,Drax Power Ltd,75.0,Gas
690,Drayton Manor Farm,Anesco,25.0,Solar
691,Drone Hill,Greencoat UK Wind,28.6,Wind
692,Droop Hill Wind Farm x,Macphie Of Glenbervie Ltd,4.6,Wind
693,Drumderg,Scottish and Southern Energy (SSE),36.8,Wind
694,Drumduff,Green Breeze Energy Ltd,8.5,Wind
695,Drumjohn,Scottish Power: Hydro schemes - Galloway,2.0,Hydro
696,Drummond Moor Landfill,Waste Recycling Group,2.0,Waste
697,Dryholme Farm (Farm AD),Kirk Environmental,1.0,Biomass
698,Dudley EfW,MES Environmental (CNIM Group),7.4,Waste
699,Dummuie,Tetro Energy Ltd (ECO2),12.3,Wind
700,Dun Law 1,Renewable Energy Systems (RES),17.16,Wind
701,Dun Law 2,RES,29.75,Wind
702,Dunbar,Viridor,2.2,Waste
703,Dunbar Power Plant,Viridor,14.0,Waste
704,Dundee,Ecotricity,4.0,Wind
705,Dungavel,John Laing,26.0,Wind
706,Dungeness B,British Energy (now part of EDF),1050.0,Nuclear
707,Dunkeswell Airfield,Lumicity,2.0,Solar
708,Dunlop Landfill Gas Scheme,Natural Power,2.4,Waste
709,Dunmaglass,Scottish and Southern Energy (SSE),94.1,Wind
710,Dunmore,TCI Renewables,21.0,Wind
711,Dunsfold,Dunsfold Park Ltd,2.00056,Solar
712,Dunsland Cross Wind Farm,Temporis Capital,7.5,Wind
713,Dura Park Bynea Industrial Site,Short Bros Homes,1.4,Solar
714,Durrants Farm Solar,Kronos Solar/Vogt Solar,4.5,Solar
715,Dyffryn Brodyn,RES,5.4,Wind
716,Eaglescliffe Solar Farm,UK Sustainable Energy,5.0,Solar
717,Eakring Solar Farm,Lightsource Renewable Energy,11.9,Solar
718,Earls Hall Farm,Greencoat UK Wind,10.25,Wind
719,Earlsburn,Falck Renewables,37.5,Wind
720,Earlseat,The Renewables Infrastructure Group (TRIG),16.0,Wind
721,Earlstoun,Scottish Power: Hydro schemes - Galloway,14.0,Hydro
722,Eas a Ghaill,Gilkes Energy,1.5,Hydro
723,East Appleton,FIM Services (formerly Anesco),4.98,Solar
724,East Dagenham Docks AD (AD),Lynton Development Ltd & Teg Environmental Ltd,1.4,Biomass
725,East Fairlee,The Solar Building Company Ltd,6.979,Solar
726,East Farm,Anesco,6.84288,Solar
727,East Langford Farm,Low carbon Solar Partners,5.0,Solar
728,East Lenham Solar Farm,Laurence Associates,6.6,Solar
729,East Midlands Airport,Wind Direct,1.0,Wind
730,East Midlands Distribution Centre,Marks and Spencer plc,6.1,Solar
731,East Youlstone,Airvolution Energy,4.0,Wind
732,Eastacombe,The Green Company (Europe) Limited,3.577,Solar
733,Eastcroft EfW (Lines 1 & 2),FCC Environment,9.0,Waste
734,Easter Melrose Wind Energy Project,Melrose Farms,1.5,Wind
735,Easter Tolmauds,Frank A Smart & Son Ltd,1.6,Wind
736,Easter Tulloch Wind Farm (Tullo Extension),N R Gammie Partnership,25.0,Wind
737,Ebbsfleet Farm Solar Farm,GKA Limited,4.9,Solar
738,Ebbsfleet Solar Farm,Thanet Solar Ltd/ Vogt Solar,5.0,Solar
739,Ebnal Lodge (resubmission),Greencoat Capital,5.0,Solar
740,Eccleshall Biomass,Eccleshal Biomass,2.6,Biomass
741,Eckland Lodge Farm,Stuart Howes & Son / Eckland Lodge Business Park,2.9,Solar
742,Eco Composting,Eco Sustainable Solutions,3.2,Biomass
743,Ecotech,LRZ Ltd (Taken over by NOVERA),1.5,Wind
744,Ederline Hydro,Gilkes Energy,1.9,Hydro
745,Edinbane,Vattenfall,41.0,Wind
746,Edintore Wind Farm,Vento Ludens,18.0,Wind
747,Edmonton,Londonwaste,60.0,Waste
748,Edwin Richards Landfill Scheme,Waste Recycling Group,1.8,Waste
749,Efford Landfill (Newmilton),Veolia,2.8,Waste
750,Eggborough,Eggborough Power Ltd,1960.0,Coal
751,Eglish Mountain,ESB (Northern Wind Power),13.8,Wind
752,Egmanton Solar Farm - resubmission,United Photovoltaics,14.2,Solar
753,Elan Valley Hydro Scheme,Dwr Cymru Welsh Water,2.9,Hydro
754,Elean,European Development Corporation,38.0,Biomass
755,Ellicombe Farm,Lightsource Renewable Energy,1.4,Solar
756,Elliot's Hill,B9 Energy Services Ltd/ ScottishPower Renewables,5.0,Wind
757,Ellough Solar Farm,Next Energy Solar Fund Ltd,14.88322,Solar
758,Ellough Solar Farm Phase Two,Lark Energy,4.99,Solar
759,Elms Farm,Bluefield Solar,29.0,Solar
760,Elstow Landfill Site,Renewable Power Generation Ltd,1.8,Waste
761,Elton solar farm,Valfortec,5.0,Solar
762,Enderby Warren Phase II,NOVERA,4.9,Waste
763,Energen biogas cumbernauld,Energen Biogas Ltd,2.4,Biomass
764,Enfield,Uniper UK Limited,408.0,Gas
765,Enfield Farm,Greener For Life Energy,2.0,Biomass
766,EnviRecover,Mercia Waste Management,15.5,Waste
767,Epwell,Mr Bart Dalla Mura,8.988,Solar
768,Ermine Street Farm solar park,Octopus Investments,32.5,Solar
769,Ernesettle Solar Farm,PEC Renewables,4.1,Solar
770,Errol Estate,Elgin Energy EsCo,13.0,Solar
771,Eshmore,Energia Renewables,6.9,Wind
772,Esholt WWTW,Yorkshire Water,3.0,Waste
773,European Marine Energy Centre (EMEC),Scottish Power/CRE Energy/Wello,1.0,Wave and Tidal
774,Eveley,PS Renewables,49.328,Solar
775,Evermore Renewable Energy (CHP) / Lisahally Power Station,ERE Developments,15.0,Biomass
776,Ewe Hill I,Scottish Power Renewables,13.8,Wind
777,Ewe Hill II,Scottish Power Renewables,20.7,Wind
778,Exeter EfW,Viridor,3.5,Waste
779,Exning,Vortex (formerly Sun Edison),30.276,Solar
780,Eye Suffolk,South Western Power (NOVERA),14.3,Biomass
781,Eynsham Solar Farm,Belltown Power,13.2,Solar
782,F M C Land  Pitreavie Business Park,FMC Corp UK Ltd,1.5,Wind
783,FMC Technologies,FMC Technologies,1.5,Wind
784,Fairburn,Scottish and Southern Energy (SSE),40.0,Wind
785,Fairfield,Windprospect,6.5,Wind
786,Fairoak Landfill,Renewable Power Generation Ltd,1.5,Waste
787,Fairwinds,MS Power Projects Ltd,12.19689,Solar
788,Fall of Warness Tidal Demonstrator (EMEC),Bluewater Energy Services/ Scotrenewables,2.0,Wave and Tidal
789,Fallago Rig,EDF Energy Renewables,144.0,Wind
790,Fambridge Road/Canewdon Road,UK Solar Assets (Alcor LS-SPV),5.0,Solar
791,Fanny House,Primrose Solar,4.942,Solar
792,Fanny House Farm/Heysham Moss,Blue Energy,1.5,Wind
793,Far Marsh Farm (Resubmission),Mr Wielkopolski,7.5,Wind
794,Far Old Park Farm Wind Farm,Windprospect (a subsidiary of Windcluster Ltd.),4.6,Wind
795,Farington Waste Recovery Park (Waste AD),Global Renewables Lancashire Ltd,1.9,Biomass
796,Farnham Landfill,Biffa,2.4,Waste
797,Farr,Innogy (formerly RWE npower),92.0,Wind
798,Fasnakyle Compensation Set,Scottish and Southern Energy (SSE),7.5,Hydro
799,Fawley Waste to Energy Plant,Tradebe,8.6,Waste
800,Felinfach,Volac,3.2,Biomass
801,Fell View,Anesco,4.258,Solar
802,Fell View Farm (Phase 2),Anesco,2.9,Solar
803,Fellside CHP,Px Limited,180.0,Cogeneration
804,Fen Farm,Ecotricity,16.0,Wind
805,Fen Farm Solar Park,Ecotricity,1.0,Solar
806,Fen Road Solar Farm,Lark Energy,1.441,Solar
807,Fenmarc Fenland AD Plant (Waste AD),Local Generation Ltd,1.5,Biomass
808,Fenton Home Farm,Sunsave,31.3,Solar
809,Fernbrook AD Plant (Waste AD),Fernbrook Bio Limited,1.5,Biomass
810,Ferneylea Farm,John McGregor/CBK Galbraith,1.5,Wind
811,Ferrybridge Multi-fuel,Scottish and Southern Energy (SSE),79.0,Biomass
812,Fferm Bryn Bachau,BNRG Renewables,4.4,Solar
813,Ffestiniog,ENGIE,360.0,Hydro
814,Fforch Nest Wind Farm pt1,Pennant Walters,10.0,Wind
815,Fforch Nest Wind Farm pt2,Pennant Walters,17.5,Wind
816,Ffos Las,Mr Martyn Llewelyn,4.9968,Solar
817,Ffynnon Oer,RWE npower,32.0,Wind
818,Fibrepower  Slough,Scottish and Southern Energy (SSE),50.0,Waste
819,Field House Solar / Hursley Road,Orta Solar,7.0,Solar
820,Fields Farm (Agden),Lightsource Renewable Energy,4.997475,Solar
821,Fieldscale,SBC Renewables,10.6,Solar
822,Finlarig,Scottish and Southern: Hydro Schemes - Breadalbane,16.5,Hydro
823,Fiskerton Solar Farm,Lark Energy,13.04248,Solar
824,Five Oaks,John Laing Ltd,8.7,Oil
825,Fleetwood Water Treatment Works,United Utilities,1.3,Solar
826,Flimby,Flimby Wind Energy Ltd,6.15,Wind
827,Flixborough Industrial Estate,NESF (formerly INRG Solar),5.0,Solar
828,Flotta,Scotwind (Scottish Renewables),1.8,Wind
829,Folly Farm,Hive Energy,13.1,Solar
830,Folly Lane,Combined Landfill Projects (CLP Envirogas),1.0,Waste
831,Ford Farm (Ashurst),Conergy,10.0,Solar
832,Ford Farm Solar Farm,Ford Farm PV Scheme LLP,5.0,Solar
833,Ford Motor Company Ltd (Extension),,2.0,Wind
834,Forest Farm,NESF (formerly Earthworm/Waltham Solar),3.0,Solar
835,Forest Heath Solar Farm,Munich RE,5.0,Solar
836,Former Pluckley Landfill Site,Farley Engineering/ Kent Weald Properties/Cleanaway,1.0,Waste
837,Forss,Renewable Energy Systems Ltd,2.0,Wind
838,Forss Extension,Renewable Energy Systems Ltd,5.2,Wind
839,Four Ashes EfW,Veolia,23.0,Waste
840,Four Burrows,TRIG,4.5,Wind
841,Four Burrows Farm  (Extension 2),RES UK & Ireland Limited,6.3,Solar
842,Four Burrows Solar farm (Extension 1),Inazin Power Ltd,1.5,Solar
843,Four Burrows Wind Farm,RES,4.5,Wind
844,Foxburrow Farm,UK Sustainable Energy,8.0,Solar
845,Foxcombe Farm Solar Park,Mr John Wearmouth Tel: 07956 429942,5.0,Solar
846,Foxhall Landfill Site,Renewable Power Generation Ltd,1.2,Waste
847,Foyers,,300.0,Hydro
848,Foyers Falls,Scottish and Southern Energy (SSE),5.0,Hydro
849,Fraisthorpe Wind Farm,Octopus Investments,29.7,Wind
